timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1573267157291,708,HTTP Request,200,,Thread Group 1-68,text,true,,371,210,322,322,http://itsa-sms-lb-1364654292.ap-southeast-1.elb.amazonaws.com/api/module/getAttendance?module_id=IS110&student_id=1,538,0,94
1573267156959,708,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-68,,true,,371,210,322,322,null,538,335,94
1573267157289,1167,HTTP Request,200,,Thread Group 1-99,text,true,,371,210,422,422,http://itsa-sms-lb-1364654292.ap-southeast-1.elb.amazonaws.com/api/module/getAttendance?module_id=IS110&student_id=1,610,0,107
1573267157110,1167,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-99,,true,,371,210,422,422,null,610,223,107
1573267157281,1331,HTTP Request,200,,Thread Group 1-130,text,true,,371,210,475,475,http://itsa-sms-lb-1364654292.ap-southeast-1.elb.amazonaws.com/api/module/getAttendance?module_id=IS110&student_id=1,1314,0,104
1573267157217,1331,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-130,,true,,371,210,475,475,null,1314,65,104
1573267157228,1566,HTTP Request,200,,Thread Group 1-19,text,true,,371,210,519,519,http://itsa-sms-lb-1364654292.ap-southeast-1.elb.amazonaws.com/api/module/getAttendance?module_id=IS110&student_id=1,1566,0,150
1573267156763,1566,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-19,,true,,371,210,519,519,null,1566,465,150
1573267157234,1756,HTTP Request,200,,Thread Group 1-2,text,true,,371,210,566,566,http://itsa-sms-lb-1364654292.ap-southeast-1.elb.amazonaws.com/api/module/getAttendance?module_id=IS110&student_id=1,1567,0,148
1573267156704,1756,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,371,210,566,566,null,1567,531,148
1573267157306,1754,HTTP Request,200,,Thread Group 1-64,text,true,,371,210,567,567,http://itsa-sms-lb-1364654292.ap-southeast-1.elb.amazonaws.com/api/module/getAttendance?module_id=IS110&student_id=1,1592,0,119
1573267156947,1754,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-64,,true,,371,210,567,567,null,1592,360,119
1573267157230,2162,HTTP Request,200,,Thread Group 1-115,text,true,,371,210,664,664,http://itsa-sms-lb-1364654292.ap-southeast-1.elb.amazonaws.com/api/module/getAttendance?module_id=IS110&student_id=1,1861,0,188
1573267157162,2162,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-115,,true,,371,210,664,664,null,1861,69,188
1573267157287,2106,HTTP Request,200,,Thread Group 1-69,text,true,,371,210,664,664,http://itsa-sms-lb-1364654292.ap-southeast-1.elb.amazonaws.com/api/module/getAttendance?module_id=IS110&student_id=1,1723,0,137
1573267157543,1850,HTTP Request,200,,Thread Group 1-214,text,true,,371,210,663,663,http://itsa-sms-lb-1364654292.ap-southeast-1.elb.amazonaws.com/api/module/getAttendance?module_id=IS110&student_id=1,1546,0,7
1573267156964,2106,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-69,,true,,371,210,664,664,null,1723,324,137
1573267157541,1850,Transaction Controller,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-214,,true,,371,210,663,663,null,1546,3,7
